tuckeky01,2021,1,HOU,AL,140,506,83,149,37,3,30,92,14,2,53,90,5,1,0,5,10,,0.294466403
suareeu01,2021,1,CIN,NL,145,505,71,100,23,0,31,79,0,1,56,171,0,8,0,5,14,,0.198019802
sotoju01,2021,1,WAS,NL,151,502,111,157,20,2,29,95,9,7,145,93,23,2,0,5,23,,0.312749004
gurrilo01,2021,1,TOR,AL,141,500,62,138,28,2,21,84,1,3,32,102,1,2,1,6,8,,0.276
belljo02,2021,1,WAS,NL,144,498,75,130,24,1,27,88,0,0,65,101,2,2,0,3,22,,0.261044177
smithpa04,2021,1,ARI,NL,145,498,68,133,27,4,11,49,1,0,42,106,1,4,0,1,11,,0.267068273
andruel01,2021,1,OAK,AL,146,497,60,121,25,2,3,37,12,2,31,81,2,6,3,4,14,,0.243460765
lopezni01,2021,1,KCA,AL,151,497,78,149,21,6,2,43,22,1,49,74,0,4,12,3,9,,0.299798793
muncyma01,2021,1,LAN,NL,144,497,95,124,26,2,36,94,2,1,83,120,5,11,0,1,7,,0.249496982
rojasmi02,2021,1,MIA,NL,132,495,66,131,30,3,9,48,13,3,37,74,0,5,1,1,10,,0.264646465
beninan01,2021,1,KCA,AL,134,493,63,136,27,2,17,73,8,9,36,97,0,2,1,6,2,,0.275862069
uriaslu01,2021,1,MIL,NL,150,490,77,122,25,1,23,75,5,1,63,116,3,10,1,3,9,,0.248979592
harpebr03,2021,1,PHI,NL,141,488,101,151,42,1,35,84,13,3,100,134,14,5,2,4,12,,0.30942623
haysau01,2021,1,BAL,AL,131,488,73,125,26,4,22,71,4,3,28,107,0,9,3,1,9,,0.256147541
doziehu01,2021,1,KCA,AL,144,487,55,105,27,6,16,54,5,4,43,154,0,7,0,6,12,,0.215605749
peralda01,2021,1,ARI,NL,150,487,57,126,30,8,8,63,2,1,46,92,3,3,0,2,9,,0.258726899
tapiara01,2021,1,COL,NL,133,487,69,133,26,2,6,50,20,6,40,70,2,1,1,4,8,,0.273100616
rojasjo01,2021,1,ARI,NL,139,484,69,128,32,3,11,44,9,4,58,137,1,0,1,3,7,,0.26446281
crawfbr01,2021,1,SFN,NL,138,483,79,144,30,3,24,90,11,3,56,105,6,5,0,5,8,,0.298136646
farmeky01,2021,1,CIN,NL,147,483,60,127,22,2,16,63,2,3,22,97,1,18,1,5,16,,0.262939959
taylomi02,2021,1,KCA,AL,142,483,58,118,16,1,12,54,14,7,33,144,0,5,2,5,9,,0.244306418
mccutan01,2021,1,PHI,NL,144,482,78,107,24,1,27,80,6,1,81,132,2,4,0,7,10,,0.221991701
oneilty01,2021,1,SLN,NL,138,482,89,138,26,2,34,80,15,4,38,168,0,13,0,4,8,,0.286307054
tatisfe02,2021,1,SDN,NL,130,478,99,135,31,0,42,97,25,4,62,153,6,2,0,4,5,,0.282426778
realmjt01,2021,1,PHI,NL,134,476,64,125,25,4,17,73,13,3,48,129,5,11,0,2,8,,0.262605042
phamth01,2021,1,SDN,NL,155,475,74,109,24,2,15,49,14,6,78,128,3,4,0,4,10,,0.229473684
cabremi01,2021,1,DET,AL,130,472,48,121,16,0,15,75,0,0,40,118,0,5,0,9,21,,0.256355932
croncj01,2021,1,COL,NL,142,470,70,132,31,1,28,92,1,0,60,117,3,13,0,4,11,,0.280851064
sanomi01,2021,1,MIN,AL,135,470,68,105,24,0,30,75,2,1,59,183,2,2,0,1,13,,0.223404255
brantmi02,2021,1,HOU,AL,121,469,68,146,29,3,8,47,1,0,33,53,1,5,0,1,11,,0.31130064
